REPOSITORY              TAG       IMAGE ID       CREATED        SIZE
python                  latest    c05c608cfa20   2 weeks ago    915MB
bkimminich/juice-shop   latest    70ef66aed903   2 weeks ago    494MB
debian                  latest    f776cfb21b5e   2 weeks ago    124MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
alpine                  latest    14119a10abf4   2 months ago   5.6MB
